"index"	"date"	"open"	"closed"	"difference"
2590	Jan 19 2011	1371.90	1370.20	1.7
2591	Jan 18 2011	1365.10	1368.10	-3
2592	Jan 14 2011	1375.00	1360.40	14.6
2593	Jan 13 2011	1386.10	1386.90	-0.8
2594	Jan 12 2011	1382.60	1385.70	-3.1
2595	Jan 11 2011	1375.40	1384.00	-8.6
2596	Jan 10 2011	1369.00	1373.70	-4.7
2597	Jan 07 2011	1372.70	1368.50	4.2
2598	Jan 06 2011	1374.80	1371.40	3.4
2599	Jan 05 2011	1383.40	1373.40	10
2600	Jan 04 2011	1409.60	1378.50	31.1
2601	Jan 03 2011	1415.60	1422.60	-7
2602	Dec 31 2010	1405.70	1421.10	-15.4
2603	Dec 30 2010	1413.80	1405.60	8.2
2604	Dec 29 2010	1403.40	1413.10	-9.7
2605	Dec 28 2010	1389.80	1405.20	-15.4
2606	Dec 27 2010	1373.50	1382.40	-8.9
2607	Dec 23 2010	1388.40	1380.00	8.4
2608	Dec 22 2010	1388.00	1386.80	1.2
2609	Dec 21 2010	1385.80	1388.20	-2.4
2610	Dec 20 2010	1383.20	1385.50	-2.3
2611	Dec 17 2010	1376.40	1378.60	-2.2
2612	Dec 16 2010	1380.90	1370.40	10.5
2613	Dec 15 2010	1394.00	1385.50	8.5
2614	Dec 14 2010	1401.90	1403.60	-1.7
2615	Dec 13 2010	1384.50	1397.30	-12.8
2616	Dec 10 2010	1388.90	1384.30	4.6
2617	Dec 09 2010	1380.60	1392.10	-11.5
2618	Dec 08 2010	1402.50	1382.50	20
2619	Dec 07 2010	1424.50	1408.30	16.2
2620	Dec 06 2010	1414.00	1415.30	-1.3
2621	Dec 03 2010	1385.10	1405.40	-20.3
2622	Dec 02 2010	1387.60	1388.50	-0.9
2623	Dec 01 2010	1386.80	1387.30	-0.5
2624	Nov 30 2010	1366.70	1385.00	-18.3
2625	Nov 29 2010	1364.00	1366.00	-2
2626	Nov 26 2010	1372.10	1362.30	9.8
2627	Nov 24 2010	1377.80	1372.90	4.9
2628	Nov 23 2010	1369.40	1377.50	-8.1
2629	Nov 22 2010	1357.70	1357.70	0
2630	Nov 19 2010	1350.70	1352.20	-1.5
2631	Nov 18 2010	1349.50	1352.90	-3.4
2632	Nov 17 2010	1336.90	1336.80	0.1
2633	Nov 16 2010	1356.50	1338.30	18.2
2634	Nov 15 2010	1363.70	1368.40	-4.7
2635	Nov 12 2010	1407.90	1365.40	42.5
2636	Nov 11 2010	1400.70	1403.10	-2.4
2637	Nov 10 2010	1395.20	1399.10	-3.9
2638	Nov 09 2010	1405.20	1409.80	-4.6
2639	Nov 08 2010	1390.50	1402.80	-12.3
2640	Nov 04 2010	1390.70	1397.30	-6.6
2641	Nov 03 2010	1368.60	1382.70	-14.1
2642	Nov 02 2010	1351.40	1337.10	14.3
2643	Nov 01 2010	1356.80	1356.40	0.4
2644	Oct 28 2010	1340.20	1357.10	-16.9
2645	Oct 27 2010	1327.90	1342.10	-14.2
2646	Oct 26 2010	1341.00	1322.20	18.8
2647	Oct 25 2010	1341.20	1338.00	3.2
2648	Oct 21 2010	1326.70	1324.40	2.3
2649	Oct 20 2010	1344.20	1324.70	19.5
2650	Oct 19 2010	1336.00	1343.30	-7.3
2651	Oct 18 2010	1366.80	1335.10	31.7
2652	Oct 14 2010	1379.20	1371.10	8.1
2653	Oct 13 2010	1372.80	1376.70	-3.9
2654	Oct 12 2010	1356.40	1369.50	-13.1
2655	Oct 11 2010	1346.90	1345.70	1.2
2656	Oct 07 2010	1333.50	1344.20	-10.7
2657	Oct 06 2010	1347.90	1333.90	14
2658	Oct 05 2010	1339.10	1346.40	-7.3
2659	Oct 04 2010	1312.90	1338.90	-26
2660	Sep 30 2010	1309.00	1316.10	-7.1
2661	Sep 29 2010	1307.20	1307.80	-0.6
2662	Sep 28 2010	1309.40	1308.50	0.9
2663	Sep 27 2010	1287.50	1306.60	-19.1
2664	Sep 23 2010	1296.00	1296.00	0
2665	Sep 22 2010	1294.30	1294.30	0
2666	Sep 21 2010	1290.20	1290.20	0
2667	Sep 20 2010	1272.40	1272.40	0
2668	Sep 16 2010	1275.60	1275.60	0
2669	Sep 15 2010	1271.90	1271.90	0
2670	Sep 14 2010	1266.60	1266.70	-0.1
2671	Sep 13 2010	1269.70	1269.70	0
2672	Sep 09 2010	1244.50	1244.50	0
2673	Sep 08 2010	1248.90	1248.90	0
2674	Sep 07 2010	1255.60	1255.60	0
2675	Sep 02 2010	1249.20	1249.20	0
2676	Sep 01 2010	1251.50	1251.50	0
2677	Aug 31 2010	1246.30	1246.30	0
2678	Aug 30 2010	1248.30	1248.30	0
2679	Aug 26 2010	1236.00	1236.00	0
2680	Aug 25 2010	1235.40	1235.40	0
2681	Aug 24 2010	1239.50	1239.50	0
2682	Aug 23 2010	1231.80	1231.80	0
2683	Aug 19 2010	1227.20	1227.20	0
2684	Aug 18 2010	1233.80	1233.80	0
2685	Aug 17 2010	1229.70	1229.70	0
2686	Aug 16 2010	1226.60	1226.60	0
2687	Aug 12 2010	1214.90	1214.90	0
2688	Aug 11 2010	1214.80	1214.80	0
2689	Aug 10 2010	1197.50	1197.50	0
2690	Aug 09 2010	1196.20	1196.20	0
2691	Aug 05 2010	1203.30	1203.40	-0.1
2692	Aug 04 2010	1197.20	1197.20	0
2693	Aug 03 2010	1186.30	1193.70	-7.4
2694	Aug 02 2010	1185.20	1185.20	0
2695	Jul 29 2010	1168.20	1181.70	-13.5
2696	Jul 28 2010	1163.80	1168.40	-4.6
2697	Jul 27 2010	1160.40	1160.40	0
