"index"	"date"	"open"	"closed"	"difference"
2252	Aug 13 2012	1.2327	1.2327	0
2253	Aug 09 2012	1.2294	1.2294	0
2254	Aug 08 2012	1.2372	1.2373	-0.0001
2255	Aug 07 2012	1.2387	1.2387	0
2256	Aug 06 2012	1.2390	1.2390	0
2257	Aug 02 2012	1.2180	1.2180	0
2258	Aug 01 2012	1.2241	1.2241	0
2259	Jul 31 2012	1.2294	1.2294	0
2260	Jul 30 2012	1.2261	1.2259	0.0002
2261	Jul 26 2012	1.2280	1.2280	0
2262	Jul 25 2012	1.2140	1.2140	0
2263	Jul 24 2012	1.2062	1.2062	0
2264	Jul 23 2012	1.2124	1.2124	0
2265	Jul 19 2012	1.2277	1.2277	0
2266	Jul 18 2012	1.2277	1.2277	0
2267	Jul 17 2012	1.2296	1.2296	0
2268	Jul 16 2012	1.2268	1.2268	0
2269	Jul 12 2012	1.2191	1.2193	-0.0002
2270	Jul 11 2012	1.2247	1.2247	0
2271	Jul 10 2012	1.2256	1.2256	0
2272	Jul 09 2012	1.2318	1.2318	0
2273	Jul 05 2012	1.2392	1.2392	0
2274	Jul 03 2012	1.2606	1.2606	0
2275	Jun 28 2012	1.2441	1.2441	0
2276	Jun 27 2012	1.2472	1.2473	-0.0001
2277	Jun 26 2012	1.2488	1.2488	0
2278	Jun 25 2012	1.2503	1.2505	-0.0002
2279	Jun 21 2012	1.2550	1.2552	-0.0002
2280	Jun 20 2012	1.2682	1.2681	0.0001
2281	Jun 19 2012	1.2681	1.2681	0
2282	Jun 18 2012	1.2597	1.2598	-0.0001
2283	Jun 14 2012	1.2628	1.2628	0
2284	Jun 13 2012	1.2576	1.2574	0.0002
2285	Jun 12 2012	1.2505	1.2505	0
2286	Jun 11 2012	1.2478	1.2478	0
2287	Jun 07 2012	1.2569	1.2571	-0.0002
2288	Jun 06 2012	1.2576	1.2574	0.0002
2289	Jun 05 2012	1.2463	1.2463	0
2290	Jun 04 2012	1.2511	1.2509	0.0002
2291	May 31 2012	1.2361	1.2362	-0.0001
2292	May 30 2012	1.2375	1.2375	0
2293	May 29 2012	1.2478	1.2478	0
2294	May 24 2012	1.2538	1.2536	0.0002
2295	May 23 2012	1.2561	1.2561	0
2296	May 22 2012	1.2665	1.2665	0
2297	May 21 2012	1.2814	1.2811	0.0003
2298	May 17 2012	1.2698	1.2698	0
2299	May 16 2012	1.2734	1.2731	0.0003
2300	May 15 2012	1.2736	1.2736	0
2301	May 14 2012	1.2832	1.2832	0
2302	May 10 2012	1.2934	1.2935	-0.0001
2303	May 09 2012	1.2937	1.2937	0
2304	May 08 2012	1.2993	1.2995	-0.0002
2305	May 07 2012	1.3062	1.3062	0
2306	May 03 2012	1.3156	1.3156	0
2307	May 02 2012	1.3149	1.3148	0.0001
2308	May 01 2012	1.3240	1.3240	0
2309	Apr 30 2012	1.3240	1.3240	0
2310	Apr 26 2012	1.3193	1.3191	0.0002
2311	Apr 25 2012	1.3233	1.3233	0
2312	Apr 24 2012	1.3196	1.3198	-0.0002
2313	Apr 23 2012	1.3153	1.3152	0.0001
2314	Apr 19 2012	1.3144	1.3146	-0.0002
2315	Apr 18 2012	1.3120	1.3120	0
2316	Apr 17 2012	1.3135	1.3135	0
2317	Apr 16 2012	1.3127	1.3127	0
2318	Apr 12 2012	1.3189	1.3189	0
2319	Apr 11 2012	1.3119	1.3120	-0.0001
2320	Apr 10 2012	1.3075	1.3074	0.0001
2321	Apr 09 2012	1.3111	1.3111	0
2322	Apr 04 2012	1.3144	1.3144	0
2323	Apr 03 2012	1.3224	1.3225	-0.0001
2324	Apr 02 2012	1.3332	1.3333	-0.0001
2325	Mar 29 2012	1.3314	1.3314	0
2326	Mar 28 2012	1.3326	1.3326	0
2327	Mar 27 2012	1.3328	1.3329	-0.0001
2328	Mar 26 2012	1.3360	1.3360	0
2329	Mar 22 2012	1.3218	1.3219	-0.0001
2330	Mar 21 2012	1.3240	1.3238	0.0002
2331	Mar 20 2012	1.3229	1.3229	0
2332	Mar 19 2012	1.3177	1.3177	0
2333	Mar 15 2012	1.3022	1.3023	-0.0001
2334	Mar 14 2012	1.3080	1.3080	0
2335	Mar 13 2012	1.3172	1.3168	0.0004
2336	Mar 12 2012	1.3122	1.3125	-0.0003
2337	Mar 09 2012	1.3272	1.3275	-0.0003
2338	Mar 08 2012	1.3141	1.3140	0.0001
2339	Mar 07 2012	1.3120	1.3123	-0.0003
2340	Mar 06 2012	1.3223	1.3226	-0.0003
2341	Mar 05 2012	1.3186	1.3186	0
2342	Mar 02 2012	1.3319	1.3323	-0.0004
2343	Mar 01 2012	1.3326	1.3321	0.0005
2344	Feb 29 2012	1.3479	1.3478	0.0001
2345	Feb 28 2012	1.3410	1.3407	0.0003
2346	Feb 27 2012	1.3470	1.3467	0.0003
2347	Feb 24 2012	1.3374	1.3374	0
2348	Feb 23 2012	1.3257	1.3256	0.0001
2349	Feb 22 2012	1.3249	1.3243	0.0006
2350	Feb 21 2012	1.3205	1.3205	0
2351	Feb 17 2012	1.3130	1.3127	0.0003
2352	Feb 16 2012	1.3058	1.3058	0
2353	Feb 15 2012	1.3130	1.3134	-0.0004
2354	Feb 14 2012	1.3154	1.3158	-0.0004
2355	Feb 13 2012	1.3229	1.3237	-0.0008
2356	Feb 10 2012	1.3278	1.3278	0
2357	Feb 09 2012	1.3250	1.3249	0.0001
2358	Feb 08 2012	1.3249	1.3249	0
2359	Feb 07 2012	1.3118	1.3122	-0.0004
2360	Feb 06 2012	1.3125	1.3127	-0.0002
2361	Feb 03 2012	1.3135	1.3137	-0.0002
2362	Feb 02 2012	1.3172	1.3170	0.0002
2363	Feb 01 2012	1.3139	1.3077	0.0062
2364	Jan 31 2012	1.3139	1.3140	-0.0001
2365	Jan 30 2012	1.3207	1.3208	-0.0001
2366	Jan 27 2012	1.3089	1.3093	-0.0004
2367	Jan 26 2012	1.3107	1.3107	0
2368	Jan 25 2012	1.3036	1.3041	-0.0005
2369	Jan 24 2012	1.3025	1.3027	-0.0002
2370	Jan 23 2012	1.2890	1.2885	0.0005
2371	Jan 20 2012	1.2962	1.2965	-0.0003
2372	Jan 19 2012	1.2863	1.2866	-0.0003
2373	Jan 18 2012	1.2748	1.2746	0.0002
2374	Jan 17 2012	1.2667	1.2667	0
2375	Jan 13 2012	1.2825	1.2821	0.0004
2376	Jan 12 2012	1.2724	1.2724	0
2377	Jan 11 2012	1.2754	1.2752	0.0002
2378	Jan 10 2012	1.2776	1.2776	0
2379	Jan 09 2012	1.2680	1.2680	0
2380	Jan 06 2012	1.2793	1.2796	-0.0003
2381	Jan 05 2012	1.2931	1.2931	0
2382	Jan 04 2012	1.3054	1.3056	-0.0002
2383	Jan 03 2012	1.2936	1.2941	-0.0005
2384	Dec 30 2011	1.2952	1.2956	-0.0004
2385	Dec 29 2011	1.2926	1.2927	-0.0001
2386	Dec 28 2011	1.3071	1.3072	-0.0001
2387	Dec 27 2011	1.3050	1.3051	-0.0001
2388	Dec 23 2011	1.3057	1.3056	0.0001
2389	Dec 22 2011	1.3038	1.3040	-0.0002
2390	Dec 21 2011	1.3088	1.3088	0
2391	Dec 20 2011	1.3008	1.3008	0
2392	Dec 19 2011	1.3036	1.3037	-0.0001
2393	Dec 16 2011	1.3030	1.3030	0
